c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,61.7,30,0.96,11,2.46,21.108522
327.2,45.0,3.15,905.6,2.64,614.0,2.84,229.5,0.7,92.5,30,0.96,10,2.45,18.485357
327.2,45.0,3.15,905.6,2.64,789.5,2.84,229.5,0.7,29.2,35,0.91,12,2.47,25.978283
327.2,45.0,3.15,905.6,2.64,701.8,2.84,229.5,0.7,58.5,35,0.91,12,2.46,21.512638
327.2,45.0,3.15,905.6,2.64,614.0,2.84,229.5,0.7,87.7,35,0.91,9,2.44,19.740292
350.0,42.5,3.14,802.7,2.64,996.4,2.61,185.5,0.53,0.0,40,1.34,10,2.4,40.68026
350.0,42.5,3.14,788.4,2.64,920.4,2.61,213.5,0.61,45.9,40,1.34,9,2.32,31.866467
350.0,42.5,3.14,774.1,2.64,844.5,2.61,227.5,0.65,91.7,40,1.33,9,2.22,35.140453
350.0,42.5,3.14,759.8,2.64,768.5,2.61,259.0,0.74,137.5,40,1.33,8,2.15,35.465572
350.0,42.5,3.14,713.3,2.64,996.4,2.61,199.5,0.57,45.9,40,1.33,9,2.35,24.50499
350.0,42.5,3.14,624.0,2.64,996.4,2.61,210.0,0.6,91.7,40,1.33,8,2.3,29.704676
350.0,42.5,3.14,534.6,2.64,996.4,2.61,224.0,0.64,137.5,40,1.32,8,2.23,32.0409
350.0,42.5,3.14,713.3,2.64,996.4,2.61,185.5,0.53,45.9,40,1.32,8,2.36,22.95494
350.0,42.5,3.14,624.0,2.64,996.4,2.61,182.0,0.52,91.7,40,1.31,8,2.35,26.968094
350.0,42.5,3.14,534.6,2.64,996.4,2.61,182.0,0.52,137.5,40,1.31,7,2.3,27.503218
350.0,42.5,3.14,801.0,2.6,1003.1,2.73,189.0,0.53,0.0,30,1.32,4,2.36,36.121037
